time,open,high,low,close,vwap,vol
1568548800,10.514,10.514,10.448,10.501,10.470,20.75397864,12
1568563200,10.497,10.497,10.471,10.471,10.486,29.91517327,4
1568577600,10.471,10.471,10.334,10.401,10.383,1612.30867351,99
1568592000,10.401,10.462,10.401,10.462,10.440,72.19863604,16
1568606400,10.451,10.451,10.434,10.437,10.439,193.03370000,6
1568620800,10.437,10.597,10.430,10.597,10.558,267.11556375,16
1568635200,10.547,10.547,10.386,10.386,10.533,759.19914657,52
1568649600,10.386,10.418,10.356,10.418,10.374,244.44412738,24
1568664000,10.414,10.520,10.414,10.435,10.443,410.24804304,47
1568678400,10.445,10.461,10.379,10.379,10.452,180.04706767,16
1568692800,10.379,10.391,10.329,10.382,10.352,183.89600706,17
1568707200,10.382,10.382,10.270,10.299,10.298,1218.42143699,124
1568721600,10.299,12.499,10.299,10.980,11.142,2541.14543561,225
1568736000,11.000,11.178,10.667,10.950,10.859,1417.76828391,118
1568750400,10.950,11.098,10.581,10.636,10.865,1125.53207274,122
1568764800,10.636,11.068,10.601,10.963,10.858,272.42970716,32
1568779200,10.966,11.036,10.794,10.947,10.909,371.45614537,24
1568793600,10.947,11.113,10.826,10.945,10.994,350.95187694,44
1568808000,10.945,10.999,10.829,10.986,10.885,1537.11273355,83
1568822400,11.011,11.610,11.011,11.088,11.236,1191.02057188,111
1568836800,11.088,11.088,10.638,10.712,10.806,1592.36103424,152
1568851200,10.695,10.695,10.342,10.354,10.513,1605.17358100,193
1568865600,10.326,10.482,10.300,10.428,10.412,171.55971811,31
1568880000,10.428,10.469,10.407,10.469,10.442,402.56227181,25
1568894400,10.469,10.469,10.285,10.429,10.362,455.61443933,25
1568908800,10.487,10.739,10.484,10.739,10.570,604.43976384,54
1568923200,10.788,11.020,10.705,10.705,10.797,425.70776793,47
1568937600,10.705,10.943,10.705,10.758,10.847,564.50184598,43
1568952000,10.758,10.800,10.679,10.744,10.761,265.95512378,20
1568966400,10.744,10.744,10.678,10.698,10.712,118.60158049,15
1568980800,10.699,10.761,10.698,10.761,10.740,157.24160000,14
1568995200,10.761,10.895,10.759,10.815,10.828,700.23453992,72
1569009600,10.816,10.872,10.757,10.846,10.786,1608.79179573,117
1569024000,10.846,10.985,10.799,10.825,10.864,343.88612205,23
1569038400,10.799,10.799,10.677,10.706,10.721,528.22541308,28
1569052800,10.706,10.724,10.633,10.641,10.693,224.10818412,13
1569067200,10.622,10.622,10.528,10.614,10.567,137.80559405,23
1569081600,10.614,10.699,10.610,10.699,10.664,56.98308015,6
1569096000,10.699,10.762,10.674,10.762,10.734,282.87441902,21
1569110400,10.761,10.762,10.510,10.558,10.626,856.71814629,46
1569124800,10.558,10.560,10.534,10.560,10.549,55.69757000,5
1569139200,10.664,10.692,10.606,10.606,10.658,80.40506424,10
1569153600,10.606,10.650,10.585,10.589,10.598,291.55721398,39
1569168000,10.589,10.595,10.430,10.510,10.495,738.09208569,36
1569182400,10.510,10.578,10.500,10.509,10.509,1309.93538701,131
1569196800,10.504,10.514,10.448,10.469,10.483,418.51646982,48
1569211200,10.469,10.488,10.419,10.461,10.467,278.21659542,34
1569225600,10.425,11.002,10.425,10.684,10.800,1206.60766812,137
1569240000,10.646,10.674,10.466,10.510,10.560,410.91520588,67
1569254400,10.510,10.655,10.449,10.634,10.512,712.69615037,46
1569268800,10.634,10.634,10.348,10.465,10.432,2127.98517742,185
1569283200,10.465,10.465,10.375,10.388,10.407,114.74682387,17
1569297600,10.362,10.417,10.362,10.414,10.392,300.16758032,20
1569312000,10.414,10.468,10.377,10.377,10.406,237.96684765,21
1569326400,10.377,10.424,10.130,10.270,10.283,1007.27654047,87
1569340800,10.270,10.308,8.701,8.702,9.578,1721.24228608,265
1569355200,8.706,9.123,8.575,8.916,8.840,1352.17269974,131
1569369600,8.916,9.097,8.784,8.939,8.957,207.42363269,43
1569384000,8.904,8.904,8.497,8.497,8.773,465.80762330,65
1569398400,8.472,8.532,8.125,8.218,8.387,962.54775808,124
1569412800,8.218,8.424,8.104,8.424,8.242,406.08138791,50
1569427200,8.424,8.424,8.286,8.374,8.392,134.26538511,23
1569441600,8.374,8.729,8.374,8.603,8.676,2278.71694605,141
1569456000,8.603,8.948,8.588,8.751,8.744,1075.00937074,86
1569470400,8.751,8.751,8.505,8.505,8.606,204.07047497,28
1569484800,8.523,8.593,8.352,8.587,8.452,919.01281693,75
1569499200,8.587,8.587,7.865,7.865,8.333,1074.58326527,136
1569513600,7.865,8.162,7.285,7.969,7.782,3889.77634757,271
1569528000,7.969,8.051,7.891,8.039,7.918,1909.42338854,88
1569542400,8.039,8.039,7.819,8.019,7.927,197.03443385,24
1569556800,8.019,8.084,7.969,8.083,8.015,183.39165931,13
1569571200,8.083,8.092,8.050,8.050,8.082,27.51636564,10
1569585600,8.050,8.091,7.979,8.058,8.013,86.42604729,15
1569600000,8.012,8.251,8.002,8.189,8.082,126.71801541,30
1569614400,8.249,8.378,8.170,8.375,8.271,205.81895661,29
1569628800,8.375,8.441,8.329,8.380,8.382,497.21019965,46
1569643200,8.380,8.410,8.342,8.342,8.379,402.15858633,51
1569657600,8.342,8.380,8.316,8.316,8.376,10.52934000,2
1569672000,8.316,8.325,8.261,8.288,8.274,133.44690008,14
1569686400,8.288,8.359,8.288,8.359,8.349,338.19070916,43
1569700800,8.359,8.497,8.321,8.339,8.365,615.51208737,72
1569715200,8.339,8.339,8.296,8.296,8.296,4.11820191,5
1569729600,8.296,8.296,8.207,8.207,8.254,85.78934404,8
1569744000,8.207,8.238,8.176,8.183,8.192,328.97895870,14
1569758400,8.183,8.188,8.080,8.106,8.114,48.63471628,12
1569772800,8.106,8.106,7.950,8.000,7.978,187.13000000,21
1569787200,8.000,8.192,8.000,8.168,8.140,230.78824009,20
1569801600,8.168,8.168,8.103,8.103,8.103,0.56236000,1
1569816000,8.103,8.103,7.882,7.923,7.939,41.48143943,16
1569830400,7.923,8.172,7.923,8.171,8.102,134.43267795,25
1569844800,8.171,8.412,8.149,8.379,8.292,227.40511409,41
1569859200,8.379,8.400,8.379,8.399,8.399,11.27471000,3
